tweet_id,author,text,date,url
001554,Laurentmod,"salut , 10 coupures de fibre depuis le début de l'année, dont 2 en 3 jours ! c'est inacceptable. j'attends un technicien dans 4 jours... quelle solution proposez-vous ? free serviceclient",2024-09-28 10:42:18+00:00,https://twitter.com/Laurentmod/status/1839978939038511485
002989,JROSSOfficiel,on fait comment pour vous joindre qd on est plus client?? le code barre de retour colis n est pas accepté que ce soit en consigne ou en boutique!! je fais comment pour vous rendre le matériel. vu que mon accès à mon espace client est fermé je tente ici,2025-02-22 16:13:42+00:00,https://twitter.com/JROSSOfficiel/status/1893333354717556967
000221,musiqueapapa,"bonsoir, j'ai toujours des gros problèmes avec les services télé sur ma freebox. la panne se poursuit depuis vendredi soir... savez-vous quand cela sera résolu ? merci d'avance",2024-07-22 21:25:21+00:00,https://twitter.com/musiqueapapa/status/1815498393424191895
003117,Freebox,"bonjour,nnla messagerie privée x n’est plus disponible.nnretrouvez-moi dès à présent sur messenger pour un diagnostique de sa connexion :n▶️ sommes également disponibles via d'autres canaux :n▶️ - free",2025-03-20 07:38:14+00:00,https://twitter.com/Freebox/status/1902625715365015621
001972,Freebox,"la messagerie privée x n’est plus disponible, et nous en sommes désolés pirolyxnnretrouvez-nous dès à présent sur messenger &gt; nou via",2024-10-17 13:21:42+00:00,https://twitter.com/Freebox/status/1846904420740509876
001645,Raziaa_,??,2024-10-02 18:22:53+00:00,https://twitter.com/Raziaa_/status/1841544397537640735
001980,itsyaboiOrion,je n’ai plus d’internet depuis lundi 14 octobre suite à un soi-disant « incident technique ».nnsachez qu’à la fin du mois je résilie et je passe chez nny’en a marre.,2024-10-17 15:46:55+00:00,https://twitter.com/itsyaboiOrion/status/1846940966562693312
000299,JennyPeachTV,"on dira merci et sa connexion instable qui pue la fiente de pigeon. le stream tient pas, steam non plus, on adore.",2024-07-27 20:17:39+00:00,https://twitter.com/JennyPeachTV/status/1817293294894006403
003336,BikettedeCombat,"bonjour, j’ai un souci avec ma freebox ultra. j’ai installé un disque dur ssd m.2 neuf dans la box et l’ai formaté,j'arrive pas a avoir accès a mes film j'ai contacter le 3244 incapable de nous aider, nous laisse seul au tél obligé de couper car plus personne honteux",2025-05-03 10:29:30+00:00,https://twitter.com/BikettedeCombat/status/1918613885126345097
002440,Freebox,"la messagerie privée x n’est plus disponible, et nous en sommes désolés nicozudinnnretrouvez-nous dès à présent sur messenger &gt; nou via",2024-11-14 09:27:43+00:00,https://twitter.com/Freebox/status/1856992398687006873
002555,manavaeva,depuis que je suis chez j’ai tellement de bug putain les coupures de tv et internet c’est hallucinant ! franchement c’est même pire que ! et pour être pire que sfr c’est quelques chose.,2024-11-21 16:25:01+00:00,https://twitter.com/manavaeva/status/1859634128980713566
001273,cwoox,"pas fait d’avoir essayer via le service whatsapp, ça fait 4 jours j’ai 0 réponse ……nndu coup j’envoie tous les jours un gif pour dire bonjournnon dirait presque (presque hein) qu’on paye un service",2024-09-14 19:36:57+00:00,https://twitter.com/cwoox/status/1835040056999837697
001614,CabalYoshi94,c'est la pire connexion internet de l'histoire ! heureusement je vais bénéficier d'un csp le. mois prochain et donc la perte d'un cdi pour pouvoir résilier seulement 1 mois après le début de mon abonnement,2024-10-01 18:57:06+00:00,https://twitter.com/CabalYoshi94/status/1841190622377722213
002954,kmidupon,étant donné qu'après presque 2 mois sans internet toujours rien n'est fait je me demandais qui est ce que vous conseillez entre un fai de la ffdn ou orange ? j'aimerai bien avoir un fai compétent m'voyez,2025-01-02 10:38:25+00:00,https://twitter.com/kmidupon/status/1874767194292461692
003084,3ld4m4rr,je suis pour la récupération de ma connexion...,2025-03-16 19:09:33+00:00,https://twitter.com/3ld4m4rr/status/1901350139652166007
